gene_id	R1	R1	R2 	R2 	R3	R3	R6	R6	R4	R4	R5	R5	R7	R7	R8	R8
BAP1,Chr3:52438488	4574	0	1990	1324	3503	0	2518	0	2873	0	2860	0	4680	0	2919	0
ARAP3,chr5:141041728	3977	0	3482	934	3064	0	3881	0	3898	0	3982	0	5037	0	3952	0
MPP6,chr7:24727141	3375	0	2350	988	2772	0	4090	0	3972	0	4369	0	5505	0	2895	0
SLC22A18AS,chr11:2909814	4430	0	3216	1329	3307	0	3265	0	3769	0	3817	0	5611	0	3424	0
OR8G2,chr11:124095954	3242	0	2245	576	2779	0	3167	0	3355	0	2797	0	4013	0	2864	0
MYCBP2,chr13:77748486	2532	0	1865	785	1961	0	2341	0	2387	0	2205	0	3022	0	2015	0
NSF,chr17:44827190	3856	0	3678	218	3323	0	3524	0	3819	0	3356	0	4798	0	3495	0
OR7G3,chr19:9236914	2914	0	1591	622	2479	0	2820	0	2813	0	2723	0	3499	0	2427	0
ZNF567,chr19:37211002	3251	0	2112	895	2917	0	3103	0	3355	0	3058	0	3892	0	2863	0
CAMSAP1,chr9:138714298	3705	0	3446	0	2736	0	2668	310	3044	0	2997	0	4325	0	3357	0
DIP2C,chr10:323333	3985	0	3614	0	3033	0	2534	501	3396	0	1982	0	4374	0	3103	0
ANO5,chr11:22281086	4705	0	5190	0	3793	0	2988	611	3941	0	3634	0	4972	0	3430	0
BAIAP3,chr16:1396201	1356	0	1144	0	1137	0	1035	224	1287	0	1419	0	1619	0	1266	0
KANK4,chr1:62713277	4008	0	3976	0	3110	0	3059	0	3060	329	3306	0	4937	0	3382	0
ATP10D,chr4:47556801	1843	0	1681	0	1364	0	1645	0	1401	536	1544	0	2207	0	1501	0
REST,chr4:57797255	4030	0	4646	0	4051	0	3453	0	3421	758	3741	0	4432	0	2695	0
NOA1,chr4:57843259	1114	0	869	0	842	0	927	0	864	222	1083	0	1192	0	975	0
NKX2-2,chr20:21494058	3218	0	2699	0	2506	0	2707	0	2249	485	2771	0	3775	0	2857	0
FABP3,chr1:31840269	3950	0	3943	0	3147	0	3496	0	3426	0	3467	0	5066	0	2941	558
SNED1,chr2:241938402	1488	0	1219	0	1127	0	1302	0	1257	0	1270	0	1834	0	1216	108
PGBD3,chr10:50723728	3019	0	3229	0	2494	0	2468	0	2955	0	2581	0	3888	0	2553	360
OR10A4,chr11:6898134	4286	0	4390	0	3278	0	3492	0	3959	0	3454	0	4913	0	3106	561
MAPK8IP3,chr16:1816138	3869	0	3272	0	2830	0	3043	0	3059	0	3253	0	4518	0	2999	209
MYH2,chr17:10427955	3766	0	3476	0	2875	0	3316	0	3510	0	3096	0	4333	0	2357	559
